,,,,,,,,
사전화 구조,,,,,Data-Engine-Management Architecture,,,
3Tier_A,Area,Module,연관 계층,,구분,ArchitectureRule,설명,Target
REQ-014,DATA,Customer,UserProfile,비기능,데이터 품질,필드 누락 표시,시스템은 선택 입력(LV2/LV3) 누락을 “미제공”으로 명시 저장해야 한다.,DC_UP_014
REQ-015,DATA,Customer,UserProfile,비기능,식별자 관리,내부 식별자 분리,시스템은 사용자 식별자와 분석/로그 식별자를 분리하여 저장해야 한다.,DC_UP_015
,,,,,,,,
REQ-016,DATA,Customer,UserCredit,기능,금융정보 저장,총부채 저장,시스템은 총부채 값을 UserCredit 이력으로 저장해야 한다.,DC_UC_001
REQ-017,DATA,Customer,UserCredit,기능,금융정보 저장,기존대출수 저장,시스템은 기존대출수 값을 UserCredit 이력으로 저장해야 한다.,DC_UC_002
REQ-018,DATA,Customer,UserCredit,기능,금융정보 저장,대출목적 저장,시스템은 대출목적 값을 UserCredit 이력 또는 연관 테이블로 저장해야 한다.,DC_UC_003
REQ-019,DATA,Customer,UserCredit,비기능,이력 불변,시점 불변성,시스템은 UserCredit 이력 레코드를 수정·삭제하지 못하도록 해야 한다.,DC_UC_004
REQ-020,DATA,Customer,UserCredit,비기능,정합성,프로필-신용 연결,시스템은 UserCredit 이력이 반드시 하나의 UserProfile과 참조 무결성을 유지하도록 해야 한다.,DC_UC_005
REQ-021,DATA,Customer,UserCredit,비기능,동의 준수,LV3 동의 확인,시스템은 LV3 금융정보가 동의 없이 저장되지 않도록 차단해야 한다.,DC_UC_006
REQ-022,DATA,Customer,UserCredit,비기능,검증,부채/대출수 검증,시스템은 총부채·기존대출수 입력의 형식 및 범위를 검증해야 한다.,DC_UC_007
REQ-023,DATA,Customer,UserCredit,비기능,출처 기록,수기/추정 구분,시스템은 총부채·기존대출수의 입력 출처(사용자 제공/추정/외부연동)를 저장해야 한다.,DC_UC_008
REQ-024,DATA,Customer,UserCredit,비기능,감사 로그,신용정보 접근 로그,시스템은 UserCredit 조회 행위를 감사 로그로 남겨야 한다.,DC_UC_009
,,,,,,,,
REQ-025,DATA,MetaData,Credit,기능,코드 사전,CDic 코드 등록,시스템은 Credit_Code 및 Column_Code를 코드 사전으로 등록·조회할 수 있어야 한다.,DM_C_001
REQ-026,DATA,MetaData,Credit,기능,의미 정의,컬럼 의미 관리,시스템은 각 Column_Code의 의미(설명)를 저장하고 조회할 수 있어야 한다.,DM_C_002
REQ-027,DATA,MetaData,Credit,기능,값 규칙,값 타입/범위 관리,시스템은 각 Column_Code의 값 타입과 허용 범위를 메타데이터로 관리해야 한다.,DM_C_003
REQ-028,DATA,MetaData,Credit,비기능,버전 관리,메타데이터 버전,시스템은 Credit 메타데이터를 버전 단위로 관리해야 한다.,DM_C_004
REQ-029,DATA,MetaData,Credit,비기능,승인 통제,승인본만 사용,시스템은 승인된 Credit 메타데이터 버전만 ENGINE에서 참조되도록 해야 한다.,DM_C_005
REQ-030,DATA,MetaData,Credit,비기능,비활성,삭제 금지,시스템은 메타데이터 항목의 삭제를 금지하고 비활성만 허용해야 한다.,DM_C_006
REQ-031,DATA,MetaData,Credit,비기능,추적성,변경 이력,시스템은 메타데이터 변경 사유와 변경자를 이력으로 저장해야 한다.,DM_C_007
REQ-032,DATA,MetaData,Credit,비기능,호환성,필드명 변경 정책,시스템은 메타데이터 변경 시 하위 호환성 여부를 표시해야 한다.,DM_C_008
,,,,,,,,
REQ-033,DATA,MetaData,Financial,기능,상품 해석,대출상품 필드 정의,시스템은 외부 대출상품 API의 필수 필드 목록을 Financial 메타데이터로 정의해야 한다.,DM_F_001
REQ-034,DATA,MetaData,Financial,기능,분류 정의,FS 구분 정의,시스템은 FS_A/FS_B 등 공급처 분류 코드를 Financial 메타데이터로 정의해야 한다.,DM_F_002
REQ-035,DATA,MetaData,Financial,기능,분류 정의,상품유형 표준화,시스템은 ‘일반신용대출/마이너스한도대출/카드론’ 등 상품유형 표준 코드를 Financial 메타데이터로 정의해야 한다.,DM_F_003
REQ-036,DATA,MetaData,Financial,기능,분류 정의,신용평가사 구분,시스템은 KCB/NICE 등 신용평가사 구분 코드를 Financial 메타데이터로 정의해야 한다.,DM_F_004
REQ-037,DATA,MetaData,Financial,기능,값 규칙,금리 범위 규칙,시스템은 금리 하한/상한의 형식과 단위(%) 규칙을 Financial 메타데이터로 정의해야 한다.,DM_F_005
REQ-038,DATA,MetaData,Financial,비기능,버전 관리,해석규칙 버전,시스템은 Financial 메타데이터(해석 규칙)를 버전 단위로 관리해야 한다.,DM_F_006
REQ-039,DATA,MetaData,Financial,비기능,승인 통제,승인본만 적용,시스템은 승인된 Financial 메타데이터 버전만 ENGINE에 적용되도록 해야 한다.,DM_F_007
REQ-040,DATA,MetaData,Financial,비기능,변경 대응,API 변경 이력,시스템은 외부 API 스키마 변경 이력을 Financial 메타데이터로 남겨야 한다.,DM_F_008
,,,,,,,,
REQ-041,ENGINE,Credit&Financial,RiskScoring,기능,입력 로딩,프로필 로딩,ENGINE는 판단 요청 시 UserProfile 최신 유효 이력을 로딩해야 한다.,EC_RS_001
REQ-042,ENGINE,Credit&Financial,RiskScoring,기능,입력 로딩,신용 로딩,ENGINE는 판단 요청 시 UserCredit 최신 유효 이력을 로딩해야 한다.,EC_RS_002
REQ-043,ENGINE,Credit&Financial,RiskScoring,기능,메타 적용,Credit 메타 적용,ENGINE는 승인된 Credit 메타데이터 버전을 로딩하여 점수 계산에 적용해야 한다.,EC_RS_003
REQ-044,ENGINE,Credit&Financial,RiskScoring,기능,점수 산출,리스크 점수 계산,ENGINE는 LV1~LV3 입력 및 메타데이터를 이용해 리스크 점수를 계산해야 한다.,EC_RS_004
REQ-045,ENGINE,Credit&Financial,RiskScoring,비기능,결정론,동일 입력 동일 점수,ENGINE는 동일 입력과 동일 메타데이터 버전에 대해 동일 리스크 점수를 산출해야 한다.,EC_RS_005
REQ-046,ENGINE,Credit&Financial,RiskScoring,비기능,결측 처리,LV 누락 규칙,ENGINE는 LV2/LV3 미제공 시 사전에 정의된 결측 처리 규칙을 적용해야 한다.,EC_RS_006
REQ-047,ENGINE,Credit&Financial,RiskScoring,비기능,오류 처리,점수 실패 시 중단,ENGINE는 점수 산출 실패 시 추천 판단을 중단하고 오류 응답을 반환해야 한다.,EC_RS_007
REQ-048,ENGINE,Credit&Financial,RiskScoring,비기능,근거 기록,점수 근거 요소,ENGINE는 리스크 점수에 기여한 입력 요소 목록을 설명 데이터로 생성해야 한다.,EC_RS_008
REQ-049,ENGINE,Credit&Financial,RiskScoring,비기능,성능,점수 연산 제한,ENGINE는 리스크 점수 산출을 지정된 시간 제한 내에 완료해야 한다.,EC_RS_009
,,,,,,,,
REQ-050,ENGINE,Credit&Financial,Analysis&Feature,기능,Feature 생성,Feature 파생,ENGINE는 승인된 메타데이터 규칙에 따라 파생 Feature를 생성해야 한다.,EC_AF_001
REQ-051,ENGINE,Credit&Financial,Analysis&Feature,기능,Feature 표준화,스케일/범주화,ENGINE는 Feature를 표준 스케일 또는 범주 값으로 변환해야 한다.,EC_AF_002
REQ-052,ENGINE,Credit&Financial,Analysis&Feature,비기능,버전 추적,Feature 버전 태깅,ENGINE는 생성된 Feature에 적용된 메타데이터 버전 식별자를 함께 기록해야 한다.,EC_AF_003
REQ-053,ENGINE,Credit&Financial,Analysis&Feature,비기능,재현성,Feature 재계산 가능,ENGINE는 동일 입력과 동일 메타데이터로 Feature 재계산이 가능해야 한다.,EC_AF_004
REQ-054,ENGINE,Credit&Financial,Analysis&Feature,비기능,오류 처리,Feature 실패 시 중단,ENGINE는 Feature 생성 실패 시 추천 판단을 중단해야 한다.,EC_AF_005
,,,,,,,,
REQ-055,ENGINE,Recommendation,UserSolution,기능,상품 수집,외부상품 조회,ENGINE는 외부 API로부터 대출상품 기초정보를 조회해야 한다.,ER_US_001
REQ-056,ENGINE,Recommendation,UserSolution,비기능,스키마 검증,상품 필드 검증,ENGINE는 수신한 상품 데이터가 Financial 메타데이터의 스키마를 만족하지 않으면 해당 레코드를 제외해야 한다.,ER_US_002
REQ-057,ENGINE,Recommendation,UserSolution,기능,정규화,공급처 코드 매핑,ENGINE는 FS_A/FS_B 등 공급처 코드를 표준 코드로 정규화해야 한다.,ER_US_003
REQ-058,ENGINE,Recommendation,UserSolution,기능,정규화,상품유형 매핑,ENGINE는 상품유형을 ‘일반신용대출/마이너스한도대출/카드론’ 표준 코드로 정규화해야 한다.,ER_US_004
REQ-059,ENGINE,Recommendation,UserSolution,기능,정규화,신용평가사 매핑,ENGINE는 KCB/NICE 구분값을 표준 코드로 정규화해야 한다.,ER_US_005
REQ-060,ENGINE,Recommendation,UserSolution,기능,정규화,금리 범위 파싱,ENGINE는 금리 범위(하한~상한)를 숫자 필드로 파싱하여 저장/계산에 사용해야 한다.,ER_US_006
REQ-061,ENGINE,Recommendation,UserSolution,비기능,오류 처리,상품 조회 실패 처리,ENGINE는 외부 상품 조회가 실패하면 추천 판단을 중단하고 오류 응답을 반환해야 한다.,ER_US_007
REQ-062,ENGINE,Recommendation,UserSolution,비기능,리소스 제한,호출 제한,ENGINE는 외부 API 호출에 대해 타임아웃과 재시도 정책을 적용해야 한다.,ER_US_008
REQ-063,ENGINE,Recommendation,UserSolution,기능,후보군 구성,후보군 생성,ENGINE는 정규화된 상품 데이터로 후보군을 구성해야 한다.,ER_US_009
REQ-064,ENGINE,Recommendation,UserSolution,기능,필터링,정책 기반 필터,ENGINE는 승인된 정책에 정의된 조건으로 후보 상품을 필터링해야 한다.,ER_US_010
REQ-065,ENGINE,Recommendation,UserSolution,기능,필터링,LV 기반 필터,ENGINE는 사용자가 제공하지 않은 LV2/LV3 정보에 의존하는 필터를 적용하지 않아야 한다.,ER_US_011
REQ-066,ENGINE,Recommendation,UserSolution,기능,스코어링,적합도 점수 계산,ENGINE는 리스크 점수와 Feature를 결합하여 상품 적합도 점수를 계산해야 한다.,ER_US_012
REQ-067,ENGINE,Recommendation,UserSolution,비기능,결정론,추천 재현성,ENGINE는 동일 입력·동일 정책·동일 상품 스냅샷에 대해 동일 추천 결과를 산출해야 한다.,ER_US_013
REQ-068,ENGINE,Recommendation,UserSolution,기능,정렬,랭킹 생성,ENGINE는 적합도 점수 기준으로 추천 목록을 정렬해야 한다.,ER_US_014
REQ-069,ENGINE,Recommendation,UserSolution,비기능,타이브레이크,동점 처리 규칙,ENGINE는 동점 발생 시 사전에 정의된 타이브레이크 규칙으로 순위를 결정해야 한다.,ER_US_015
REQ-070,ENGINE,Recommendation,UserSolution,기능,제외 사유,제외 사유 생성,ENGINE는 후보군에서 제외된 상품에 대해 정책 기반 제외 사유를 생성해야 한다.,ER_US_016
REQ-071,ENGINE,Recommendation,UserSolution,비기능,책임 분리,판단 독점,추천 결과의 생성과 수정은 ENGINE에서만 수행되어야 한다.,ER_US_017
REQ-072,ENGINE,Recommendation,UserSolution,비기능,설명 의무,Explain 생성,ENGINE는 추천 결과마다 설명 데이터(근거)를 생성해야 한다.,ER_US_018
REQ-073,ENGINE,Recommendation,UserSolution,비기능,설명 충족,설명 없으면 무효,ENGINE는 설명 데이터가 생성되지 않으면 추천 결과를 무효로 처리해야 한다.,ER_US_019
REQ-074,ENGINE,Recommendation,UserSolution,비기능,민감정보 통제,LV 사용표시,ENGINE는 추천에 사용된 LV 레벨을 설명 데이터에 명시해야 한다.,ER_US_020
REQ-075,ENGINE,Recommendation,UserSolution,비기능,증거 저장,판단 스냅샷 저장,ENGINE는 입력·메타데이터 버전·정책 버전·상품 스냅샷 식별자를 저장해야 한다.,ER_US_021
REQ-076,ENGINE,Recommendation,UserSolution,비기능,감사 가능,재현 키 생성,ENGINE는 특정 추천 결과를 재현할 수 있는 재현 키를 생성해야 한다.,ER_US_022
,,,,,,,,
REQ-077,ENGINE,Recommendation,UserNotification,기능,결과 패키징,응답 스키마 구성,ENGINE는 추천 결과와 설명 데이터를 표준 응답 스키마로 패키징해야 한다.,ER_UN_001
REQ-078,ENGINE,Recommendation,UserNotification,비기능,전달 차단,설명 누락 차단,ENGINE는 설명 데이터가 없는 추천 결과를 사용자에게 전달해서는 안 된다.,ER_UN_002
REQ-079,ENGINE,Recommendation,UserNotification,비기능,표현 통제,과장표현 금지,ENGINE는 사용자 전달 메시지에 확정적 수익/승인 보장 표현을 포함하지 않아야 한다.,ER_UN_003
REQ-080,ENGINE,Recommendation,UserNotification,비기능,난이도 조절,연령 기반 문구,ENGINE는 사용자 연령대에 따라 설명 문구 난이도를 조절해야 한다.,ER_UN_004
REQ-081,ENGINE,Recommendation,UserNotification,비기능,경고 제공,리스크 안내,ENGINE는 고위험 조건에서 필수 경고 문구를 포함해야 한다.,ER_UN_005
REQ-082,ENGINE,Recommendation,UserNotification,비기능,개인정보 최소화,응답 최소필드,ENGINE는 사용자에게 반환하는 응답에서 개인정보를 최소 필드로 제한해야 한다.,ER_UN_006
REQ-083,ENGINE,Recommendation,UserNotification,비기능,인증 요구,API 인증 적용,ENGINE는 모든 추천 관련 API 호출에 대해 인증을 요구해야 한다.,ER_UN_007
REQ-084,ENGINE,Recommendation,UserNotification,비기능,인가 요구,자원 단위 인가,ENGINE는 사용자별 데이터 접근에 대해 객체 수준 인가를 적용해야 한다.,ER_UN_008
REQ-085,ENGINE,Recommendation,UserNotification,비기능,레이트리밋,요청 제한,ENGINE는 추천 API에 대해 사용자/토큰 단위 요청 제한을 적용해야 한다.,ER_UN_009
REQ-086,ENGINE,Recommendation,UserNotification,비기능,감사 로그,API 접근 로그,ENGINE는 추천 API 요청·응답 메타정보를 감사 로그로 남겨야 한다.,ER_UN_010
REQ-087,ENGINE,Recommendation,UserNotification,비기능,개인정보 노출 방지,과다노출 방지,ENGINE는 응답에서 불필요한 내부 필드와 민감정보를 노출하지 않아야 한다.,ER_UN_011
REQ-088,ENGINE,Recommendation,UserNotification,비기능,장애 대응,표준 오류 응답,ENGINE는 오류 발생 시 표준 오류코드와 사용자용 메시지를 반환해야 한다.,ER_UN_012
,,,,,,,,
REQ-089,MANAGEMENT,Admin,DataManage,기능,정책 관리,정책 등록,시스템은 운영자가 추천 정책을 등록할 수 있어야 한다.,MA_DM_001
REQ-090,MANAGEMENT,Admin,DataManage,기능,정책 관리,정책 수정,시스템은 운영자가 정책을 수정할 수 있어야 한다.,MA_DM_002
REQ-091,MANAGEMENT,Admin,DataManage,기능,정책 관리,정책 버전,시스템은 정책을 버전 단위로 저장해야 한다.,MA_DM_003
REQ-092,MANAGEMENT,Admin,DataManage,기능,정책 승인,승인 워크플로우,시스템은 정책 상태를 Draft/Approved로 관리해야 한다.,MA_DM_004
REQ-093,MANAGEMENT,Admin,DataManage,비기능,승인 통제,미승인 사용 금지,시스템은 Approved가 아닌 정책을 ENGINE에 적용하지 못하도록 해야 한다.,MA_DM_005
REQ-094,MANAGEMENT,Admin,DataManage,비기능,이력 관리,승인 이력,시스템은 정책 승인자·승인시각·승인사유를 이력으로 저장해야 한다.,MA_DM_006
REQ-095,MANAGEMENT,Admin,DataManage,기능,메타데이터 관리,Credit 등록,시스템은 Credit 메타데이터 항목을 등록·수정·비활성할 수 있어야 한다.,MA_DM_007
REQ-096,MANAGEMENT,Admin,DataManage,기능,메타데이터 관리,Financial 등록,시스템은 Financial 메타데이터 항목을 등록·수정·비활성할 수 있어야 한다.,MA_DM_008
REQ-097,MANAGEMENT,Admin,DataManage,비기능,버전 관리,메타데이터 버전,시스템은 메타데이터 변경 시 버전을 생성해야 한다.,MA_DM_009
REQ-098,MANAGEMENT,Admin,DataManage,비기능,롤백,버전 롤백,시스템은 승인된 정책/메타데이터 버전을 이전 버전으로 롤백할 수 있어야 한다.,MA_DM_010
REQ-099,MANAGEMENT,Admin,DataManage,비기능,권한 분리,관리자 권한 분리,시스템은 정책 승인 권한과 정책 작성 권한을 분리할 수 있어야 한다.,MA_DM_011
REQ-100,MANAGEMENT,Admin,DataManage,비기능,감사 로그,관리행위 로그,시스템은 정책·메타데이터 변경 행위를 감사 로그로 남겨야 한다.,MA_DM_012
REQ-101,MANAGEMENT,Admin,DataManage,기능,데이터 통제,사용 가능 데이터 지정,시스템은 ENGINE이 사용할 데이터/필드를 승인 단위로 통제할 수 있어야 한다.,MA_DM_013
REQ-102,MANAGEMENT,Admin,DataManage,비기능,데이터 품질,검증 규칙 관리,시스템은 입력/상품/메타데이터 검증 규칙을 정책으로 관리할 수 있어야 한다.,MA_DM_014
REQ-103,MANAGEMENT,Admin,DataManage,비기능,배포 분리,승인과 적용 분리,시스템은 정책의 승인과 운영 적용(적용시각)을 분리 관리해야 한다.,MA_DM_015
,,,,,,,,
REQ-104,MANAGEMENT,Report&Explain,EngineManage,기능,결과 조회,추천 결과 조회,시스템은 조건(기간/정책버전/연령대 등)으로 추천 결과를 조회할 수 있어야 한다.,MR_EM_001
REQ-105,MANAGEMENT,Report&Explain,EngineManage,기능,설명 조회,Explain 조회,시스템은 추천 결과별 설명 데이터(근거)를 조회할 수 있어야 한다.,MR_EM_002
REQ-106,MANAGEMENT,Report&Explain,EngineManage,기능,재현,재현 실행,시스템은 재현 키로 동일 조건 추천 판단을 재실행할 수 있어야 한다.,MR_EM_003
REQ-107,MANAGEMENT,Report&Explain,EngineManage,비기능,불일치 탐지,재현 불일치 경고,시스템은 재현 결과가 원 결과와 다를 경우 경고를 생성해야 한다.,MR_EM_004
REQ-108,MANAGEMENT,Report&Explain,EngineManage,비기능,설명 검증,설명 누락 점검,시스템은 설명 데이터 필수 필드 누락 여부를 점검해야 한다.,MR_EM_005
REQ-109,MANAGEMENT,Report&Explain,EngineManage,비기능,감사 지원,감사 리포트,시스템은 특정 추천에 대한 입력·정책·메타데이터·결과·설명 요약 리포트를 생성해야 한다.,MR_EM_006
REQ-110,MANAGEMENT,Report&Explain,EngineManage,비기능,보존 정책,로그 보존,시스템은 감사 로그 및 운영 로그 보존 정책을 적용해야 한다.,MR_EM_007
REQ-111,MANAGEMENT,Report&Explain,EngineManage,비기능,접근 통제,리포트 접근권한,시스템은 리포트/재현 기능 접근을 역할 기반으로 제한해야 한다.,MR_EM_008
REQ-112,MANAGEMENT,Report&Explain,EngineManage,기능,통계,추천 통계 집계,시스템은 추천 결과 통계를 집계하여 조회할 수 있어야 한다.,MR_EM_009
REQ-113,MANAGEMENT,Report&Explain,EngineManage,기능,정책 영향,정책별 영향 분석,시스템은 정책 버전별 추천 결과 차이를 비교할 수 있어야 한다.,MR_EM_010
REQ-114,MANAGEMENT,Report&Explain,EngineManage,비기능,개인정보 보호,리포트 마스킹,시스템은 운영 리포트에서 개인정보를 마스킹하여 제공해야 한다.,MR_EM_011
,,,,,,,,
"인증/인가/객체수준 접근통제/과다데이터노출 방지/리소스 제한(레이트리밋)은 OWASP API Security Top 10(2023)에서 반복적으로 강조되는 API 운영 기본요건입니다.

감사/재현을 위한 로그 수집·보호·보존·분석 체계는 NIST SP 800-92 로그 관리 가이드의 핵심 범위입니다.

동의 기반 수집, 고지, 목적 제한, 동의 거부 권리 등은 한국 PIPA(개인정보 보호법)의 일반 원칙으로 요구됩니다.

해당원칙을 가이드라인으로 작성된 총 114개의 요구사항이 산출되었습니다.(2016.01.16 기준)",,,,,,,,
,,,,,,,,
"** 추후 추가되는 요구사항들은 REQ-번호와, 분류코드 번호를 부여받아 이력을 관리합니다. (REQ : 추가된 순서 / 분류코드 : 아키텍처 내 명세된 기능)",,,,,,,,
